id,age,sex,tutorial,speed_condition,difficulty,rt,resp,correct_response,correct
1,23,1,0,1,1,0.801806199946441,a,l,0
1,23,1,0,1,1,0.639256999944337,a,a,1
1,23,1,0,1,1,0.373819899978116,l,a,0
1,23,1,0,1,1,0.517184600001201,l,a,0
1,23,1,0,1,1,0.834338600048795,a,a,1
1,23,1,0,1,1,0.757304699975066,l,l,1
1,23,1,0,1,1,0.386288700043224,l,a,0
1,23,1,0,1,1,0.560223400010727,a,a,1
1,23,1,0,1,2,0.580504999961704,l,a,0
1,23,1,0,1,2,0.823402100009844,a,a,1
1,23,1,0,1,2,0.716262599918991,l,l,1
1,23,1,0,1,2,0.3772636000067,l,l,1
1,23,1,0,1,2,0.5030657000606881,a,a,1
1,23,1,0,1,2,0.627133800066076,l,l,1
1,23,1,0,1,2,0.622927499935031,a,a,1
1,23,1,0,1,2,0.53728809999302,l,l,1
1,23,1,0,1,3,0.544057600083761,l,a,0
1,23,1,0,1,3,0.5292111999588089,l,a,0
1,23,1,0,1,3,0.622449300019071,l,l,1
1,23,1,0,1,3,0.597035799990408,l,l,1
1,23,1,0,1,3,0.569928100099787,l,a,0
1,23,1,0,1,3,0.704640300013125,l,a,0
1,23,1,0,1,3,0.612981599988416,l,a,0
1,23,1,0,1,3,0.911481000017375,a,l,0
1,23,1,0,1,3,0.776884599938057,l,l,1
1,23,1,0,1,3,0.49579690000973603,l,l,1
1,23,1,0,1,3,0.527399800019339,l,l,1
1,23,1,0,1,3,0.472194299916737,l,l,1
1,23,1,0,1,3,0.569591599982232,l,a,0
1,23,1,0,1,3,0.71649740007706,l,a,0
1,23,1,0,1,3,0.417699999990873,l,a,0
1,23,1,0,1,3,0.579422699986026,a,a,1
1,23,1,0,1,2,0.6100807000184431,l,l,1
1,23,1,0,1,2,0.781788100022823,l,a,0
1,23,1,0,1,2,0.55696529999841,l,a,0
1,23,1,0,1,2,0.61632070003543,l,l,1
1,23,1,0,1,2,0.550991300027817,l,l,1
1,23,1,0,1,2,0.467793300049379,l,a,0
1,23,1,0,1,2,0.676403600024059,a,a,1
1,23,1,0,1,2,0.749849600018933,a,a,1
1,23,1,0,1,3,0.545743099995889,l,a,0
1,23,1,0,1,3,0.492527500027791,l,l,1
1,23,1,0,1,3,0.635385600035079,l,a,0
1,23,1,0,1,3,0.683853799942881,l,l,1
1,23,1,0,1,3,0.716303299996071,a,a,1
1,23,1,0,1,3,0.815665400004946,a,l,0
1,23,1,0,1,3,0.551320299971849,l,l,1
1,23,1,0,1,3,0.725104100070894,a,l,0
1,23,1,0,0,3,0.547409199993126,a,a,1
1,23,1,0,0,3,0.775146199972369,l,l,1
1,23,1,0,0,3,0.905489400029182,a,l,0
1,23,1,0,0,3,0.867809500079602,a,a,1
1,23,1,0,0,3,1.05149849993177,l,l,1
1,23,1,0,0,3,0.754631099989638,a,a,1
1,23,1,0,0,3,0.765730299986899,l,l,1
1,23,1,0,0,3,0.868733100011013,a,l,0
1,23,1,0,0,2,0.727840599953197,l,l,1
1,23,1,0,0,2,1.12913799996022,l,l,1
1,23,1,0,0,2,0.705963599961251,l,l,1
1,23,1,0,0,2,1.12435999989975,l,l,1
1,23,1,0,0,2,0.65000219992362,a,a,1
1,23,1,0,0,2,0.801670699962415,a,a,1
1,23,1,0,0,2,0.850162000046112,l,l,1
1,23,1,0,0,2,0.686070400057361,l,l,1
1,23,1,0,0,1,0.583777599968016,a,a,1
1,23,1,0,0,1,0.718606100068428,a,a,1
1,23,1,0,0,1,0.988206599955447,a,a,1
1,23,1,0,0,1,1.13967080006842,l,a,0
1,23,1,0,0,1,0.92816289991606,l,l,1
1,23,1,0,0,1,0.629450000007637,l,l,1
1,23,1,0,0,1,0.935040000011213,a,l,0
1,23,1,0,0,1,0.598136399989016,l,l,1
1,23,1,0,0,0,0.577832200098783,a,a,1
1,23,1,0,0,0,0.585074999951757,l,l,1
1,23,1,0,0,0,0.645971700083464,l,l,1
1,23,1,0,0,0,0.533808900043368,a,a,1
1,23,1,0,0,0,0.430917699937709,l,l,1
1,23,1,0,0,0,0.550336599932052,l,l,1
1,23,1,0,0,0,0.507606799947098,a,a,1
1,23,1,0,0,0,0.474308900069445,l,l,1
1,23,1,0,0,0,0.530197600019164,a,a,1
1,23,1,0,0,0,0.642569000017829,a,a,1
1,23,1,0,0,0,0.443365799961612,l,l,1
1,23,1,0,0,0,0.468386700027622,a,a,1
1,23,1,0,0,0,0.509861700003967,a,a,1
1,23,1,0,0,0,0.618350100005046,l,a,0
1,23,1,0,0,0,0.430216199951246,l,l,1
1,23,1,0,0,0,0.5067489999346441,l,l,1
1,23,1,0,0,1,0.446593699976802,l,l,1
1,23,1,0,0,1,0.46195789997000203,a,a,1
1,23,1,0,0,1,0.5004034000448879,l,l,1
1,23,1,0,0,1,0.550945900031365,l,l,1
1,23,1,0,0,1,0.524511299910955,a,a,1
1,23,1,0,0,1,0.599911800003611,l,l,1
1,23,1,0,0,1,0.766228999942541,a,a,1
1,23,1,0,0,1,0.42431030003354,l,l,1
1,23,1,0,1,2,0.668228099937551,a,l,0
1,23,1,0,1,2,0.565512100001797,a,a,1
1,23,1,0,1,2,0.390374900074676,l,l,1
1,23,1,0,1,2,0.358808799996041,a,l,0
1,23,1,0,1,2,0.552120700012892,l,l,1
1,23,1,0,1,2,0.468132900074124,l,a,0
1,23,1,0,1,2,0.532822699984536,l,l,1
1,23,1,0,1,2,0.443812999990769,a,a,1
1,23,1,0,1,1,0.367306400090456,l,l,1
1,23,1,0,1,1,0.364359500003047,a,l,0
1,23,1,0,1,1,0.545737600070424,a,a,1
1,23,1,0,1,1,0.428605000022799,l,l,1
1,23,1,0,1,1,0.461398600018583,l,l,1
1,23,1,0,1,1,0.471372699947096,l,l,1
1,23,1,0,1,1,0.476815599948168,l,l,1
1,23,1,0,1,1,0.406471400056034,a,a,1
1,23,1,0,1,0,0.368872900027782,l,l,1
1,23,1,0,1,0,0.401264899992384,l,l,1
1,23,1,0,1,0,0.413710399996489,a,a,1
1,23,1,0,1,0,0.480602800031193,a,a,1
1,23,1,0,1,0,0.496381299919449,a,a,1
1,23,1,0,1,0,0.491582199931145,l,l,1
1,23,1,0,1,0,0.477565999957733,a,a,1
1,23,1,0,1,0,0.536045899963938,a,a,1
1,23,1,0,1,0,0.594123900053091,l,l,1
1,23,1,0,1,0,0.44988339999690696,l,a,0
1,23,1,0,1,0,0.543421800015494,a,a,1
1,23,1,0,1,0,0.41087470005732,l,l,1
1,23,1,0,1,0,0.417987399967387,l,l,1
1,23,1,0,1,0,0.440650700009428,a,l,0
1,23,1,0,1,0,0.85488160001114,l,a,0
1,23,1,0,1,0,0.479999199975282,a,a,1
1,23,1,0,1,1,0.495052500045858,l,l,1
1,23,1,0,1,1,0.499463799991645,a,a,1
1,23,1,0,1,1,0.527962399995886,l,l,1
1,23,1,0,1,1,0.46560849994421,a,a,1
1,23,1,0,1,1,0.515298699960113,a,a,1
1,23,1,0,1,1,0.664521700004116,a,a,1
1,23,1,0,1,1,0.535172600066289,l,l,1
1,23,1,0,1,1,0.475695800036192,l,l,1
1,23,1,0,1,0,0.460666200029664,l,l,1
1,23,1,0,1,0,0.556885699974373,l,l,1
1,23,1,0,1,0,0.48067479999736,l,l,1
1,23,1,0,1,0,0.400048800045624,l,l,1
1,23,1,0,1,0,0.39622929994948203,l,l,1
1,23,1,0,1,0,0.461396400001831,a,a,1
1,23,1,0,1,0,0.446684600086883,a,a,1
1,23,1,0,1,0,0.627585900016129,a,a,1
1,23,1,0,0,0,0.728047100012191,l,l,1
1,23,1,0,0,0,0.419362999964505,l,l,1
1,23,1,0,0,0,0.436677900026552,a,a,1
1,23,1,0,0,0,0.503549400018528,l,l,1
1,23,1,0,0,0,0.407451500068419,l,l,1
1,23,1,0,0,0,0.418957300018519,a,a,1
1,23,1,0,0,0,0.543701399932615,a,a,1
1,23,1,0,0,0,0.54800680000335,a,a,1
1,23,1,0,0,1,0.419922800036147,l,l,1
1,23,1,0,0,1,0.406780300079845,l,l,1
1,23,1,0,0,1,0.506155799957924,a,a,1
1,23,1,0,0,1,0.499902899959125,l,l,1
1,23,1,0,0,1,0.48097090004012,a,a,1
1,23,1,0,0,1,0.44256509991828397,a,a,1
1,23,1,0,0,1,0.539663800038397,a,a,1
1,23,1,0,0,1,0.565485600032844,l,a,0
1,23,1,0,0,2,0.419769800035283,a,a,1
1,23,1,0,0,2,0.541603500023484,a,a,1
1,23,1,0,0,2,0.511848900001496,l,l,1
1,23,1,0,0,2,0.887493700021878,a,a,1
1,23,1,0,0,2,0.718686999985948,l,l,1
1,23,1,0,0,2,0.603049900033511,l,l,1
1,23,1,0,0,2,0.737711400026456,a,a,1
1,23,1,0,0,2,1.0112013000762101,l,a,0
1,23,1,0,0,3,0.957900500041433,a,a,1
1,23,1,0,0,3,1.0862651000497898,a,a,1
1,23,1,0,0,3,1.67654570005834,l,a,0
1,23,1,0,0,3,0.83638249989599,l,a,0
